Songs,Mood,Energy,Beats
"Smooth Criminal",Happy,High,Fast
"Man in the Mirror",Sad,Medium,Slow
"Don't Stop 'Til You Get Enough",Happy,High,Fast
"Bad",Happy,High,Fast
"Black or White",Happy,High,Fast
"Rock with You",Happy,High,Mid-tempo
"Wanna Be Startin' Somethin'",Happy,High,Fast
"The Way You Make Me Feel",Happy,High,Fast
"Remember the Time",Happy,High,Fast
"Human Nature",Sad,Medium,Slow
"They Don't Care About Us",Sad,High,Mid-tempo
"P.Y.T. (Pretty Young Thing)",Happy,High,Fast
"You Are Not Alone",Sad,Medium,Slow
"Dirty Diana",Sad,High,Mid-tempo
"Scream",Sad,High,Fast
"You Rock My World",Happy,High,Mid-tempo
"Stranger in Moscow",Sad,Medium,Slow
"Leave Me Alone",Sad,Medium,Mid-tempo
"Off the Wall",Happy,High,Fast
"Heal the World",Happy,High,Slow
"She's Out of My Life",Sad,Medium,Slow
"The Girl Is Mine",Happy,High,Mid-tempo
"You Are My Life",Sad,Medium,Slow
"Blood on the Dance Floor",Sad,High,Fast
"Give In to Me",Sad,High,Fast
"Gone Too Soon",Sad,Medium,Slow
"Speed Demon",Happy,High,Fast
"Childhood",Sad,Medium,Slow
"Stranger in Moscow",Sad,Medium,Slow
"Will You Be There",Sad,Medium,Slow
"Tabloid Junkie",Sad,High,Mid-tempo
"Who Is It",Sad,Medium,Mid-tempo
"Keep the Faith",Happy,High,Mid-tempo
"In the Closet",Happy,High,Mid-tempo
"Liberian Girl",Happy,High,Slow
"Heartbreaker",Sad,Medium,Mid-tempo
"Morphine",Sad,High,Fast
"Privacy",Sad,Medium,Mid-tempo
"Money",Sad,High,Fast
"Invincible",Happy,High,Fast
"D.S.",Sad,High,Mid-tempo
"You Are My Life",Sad,Medium,Slow
"2000 Watts",Happy,High,Fast
"Threatened",Sad,High,Fast
"Speechless",Sad,Medium,Slow
"Cry",Sad,Medium,Slow
"Butterflies",Happy,High,Slow
"Unbreakable",Happy,High,Fast
"Invincible",Happy,High,Fast
"Break of Dawn",Happy,High,Slow
"Heaven Can Wait",Happy,High,Mid-tempo
"You Are My Life",Sad,Medium,Slow
"Butterflies",Happy,High,Slow
"Speechless",Sad,Medium,Slow
"Cry",Sad,Medium,Slow
"Butterflies",Happy,High,Slow
"Speechless",Sad,Medium,Slow
"Cry",Sad,Medium,Slow
"Unbreakable",Happy,High,Fast
"Threatened",Sad,High,Fast
"Speechless",Sad,Medium,Slow
"Cry",Sad,Medium,Slow
"Butterflies",Happy,High,Slow
"Unbreakable",Happy,High,Fast
"Threatened",Sad,High,Fast
"Break of Dawn",Happy,High,Slow
"Heaven Can Wait",Happy,High,Mid-tempo
"You Are My Life",Sad,Medium,Slow
"Butterflies",Happy,High,Slow
"Speechless",Sad,Medium,Slow
"Cry",Sad,Medium,Slow
"Unbreakable",Happy,High,Fast
"Threatened",Sad,High,Fast
"Speechless",Sad,Medium,Slow
"Cry",Sad,Medium,Slow
"Butterflies",Happy,High,Slow
"Unbreakable",Happy,High,Fast
"Threatened",Sad,High,Fast
"Break of Dawn",Happy,High,Slow
"Heaven Can Wait",Happy,High,Mid-tempo
"You Are My Life",Sad,Medium,Slow
"Butterflies",Happy,High,Slow
"Speechless",Sad,Medium,Slow
"Attention",Happy,High,Fast
"One Call Away",Happy,High,Slow
"We Don't Talk Anymore",Sad,Medium,Mid-tempo
"How Long",Happy,High,Fast
"Marvin Gaye",Happy,High,Fast
"See You Again",Sad,Medium,Slow
"Done for Me",Happy,High,Fast
"Patient",Sad,Medium,Slow
"Mother",Sad,Medium,Slow
"Cheating on You",Sad,Medium,Mid-tempo
"Girlfriend",Happy,High,Fast
"I Warned Myself",Sad,Medium,Slow
"The Way I Am",Happy,High,Mid-tempo
"Easier Said",Sad,Medium,Mid-tempo
"Left Right Left",Happy,High,Mid-tempo
"Suffer",Sad,Medium,Slow
"How Long",Happy,High,Fast
"Attention",Happy,High,Fast
"One Call Away",Happy,High,Slow
"We Don't Talk Anymore",Sad,Medium,Mid-tempo
"How Long",Happy,High,Fast
"Marvin Gaye",Happy,High,Fast
"See You Again",Sad,Medium,Slow
"Done for Me",Happy,High,Fast
"Patient",Sad,Medium,Slow
"Mother",Sad,Medium,Slow
"Cheating on You",Sad,Medium,Mid-tempo
"Girlfriend",Happy,High,Fast
"I Warned Myself",Sad,Medium,Slow
"The Way I Am",Happy,High,Mid-tempo
"Easier Said",Sad,Medium,Mid-tempo
"Left Right Left",Happy,High,Mid-tempo
"Suffer",Sad,Medium,Slow
"How Long",Happy,High,Fast
"Attention",Happy,High,Fast
"One Call Away",Happy,High,Slow
"We Don't Talk Anymore",Sad,Medium,Mid-tempo
"How Long",Happy,High,Fast
"Marvin Gaye",Happy,High,Fast
"See You Again",Sad,Medium,Slow
"Done for Me",Happy,High,Fast
"Patient",Sad,Medium,Slow
"Mother",Sad,Medium,Slow
"Cheating on You",Sad,Medium,Mid-tempo
"Girlfriend",Happy,High,Fast
"I Warned Myself",Sad,Medium,Slow
"The Way I Am",Happy,High,Mid-tempo
"Easier Said",Sad,Medium,Mid-tempo
"Left Right Left",Happy,High,Mid-tempo
"Suffer",Sad,Medium,Slow
"How Long",Happy,High,Fast
"Attention",Happy,High,Fast
"One Call Away",Happy,High,Slow
"We Don't Talk Anymore",Sad,Medium,Mid-tempo
"How Long",Happy,High,Fast
"Marvin Gaye",Happy,High,Fast
"See You Again",Sad,Medium,Slow
"Done for Me",Happy,High,Fast
"Patient",Sad,Medium,Slow
"Mother",Sad,Medium,Slow
"Cheating on You",Sad,Medium,Mid-tempo
"Girlfriend",Happy,High,Fast
"I Warned Myself",Sad,Medium,Slow
"The Way I Am",Happy,High,Mid-tempo
"Easier Said",Sad,Medium,Mid-tempo
"Left Right Left",Happy,High,Mid-tempo
"Suffer",Sad,Medium,Slow
"How Long",Happy,High,Fast
"Attention",Happy,High,Fast
"One Call Away",Happy,High,Slow
"We Don't Talk Anymore",Sad,Medium,Mid-tempo
"How Long",Happy,High,Fast
"Marvin Gaye",Happy,High,Fast
"See You Again",Sad,Medium,Slow
"Done for Me",Happy,High,Fast
"Patient",Sad,Medium,Slow
"Mother",Sad,Medium,Slow
"Cheating on You",Sad,Medium,Mid-tempo
"Girlfriend",Happy,High,Fast
"I Warned Myself",Sad,Medium,Slow
"The Way I Am",Happy,High,Mid-tempo
"Easier Said",Sad,Medium,Mid-tempo
"Left Right Left",Happy,High,Mid-tempo
"Stay with Me",Sad,Medium,Slow
"Too Good at Goodbyes",Sad,Medium,Slow
"I'm Not the Only One",Sad,Medium,Slow
"Lay Me Down",Sad,Medium,Slow
"Writing's on the Wall",Sad,Medium,Slow
"Like I Can",Sad,Medium,Mid-tempo
"Pray",Sad,Medium,Slow
"Leave Your Lover",Sad,Medium,Slow
"Fire on Fire",Sad,Medium,Slow
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"Money on My Mind",Happy,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Diamonds",Happy,High,Mid-tempo
"Promises",Happy,High,Fast
"How Do You Sleep?",Sad,High,Mid-tempo
"My Oasis",Sad,Medium,Slow
"Love Goes",Sad,Medium,Mid-tempo
"Another One",Sad,Medium,Slow
"Forgive Myself",Sad,Medium,Slow
"Kids Again",Happy,High,Mid-tempo
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"How Do You Sleep?",Sad,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Fire on Fire",Sad,Medium,Slow
"Diamonds",Happy,High,Mid-tempo
"Promises",Happy,High,Fast
"Money on My Mind",Happy,High,Mid-tempo
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"How Do You Sleep?",Sad,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Fire on Fire",Sad,Medium,Slow
"Diamonds",Happy,High,Mid-tempo
"Promises",Happy,High,Fast
"Money on My Mind",Happy,High,Mid-tempo
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"How Do You Sleep?",Sad,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Fire on Fire",Sad,Medium,Slow
"Diamonds",Happy,High,Mid-tempo
"Promises",Happy,High,Fast
"Money on My Mind",Happy,High,Mid-tempo
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"How Do You Sleep?",Sad,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Fire on Fire",Sad,Medium,Slow
"Diamonds",Happy,High,Mid-tempo
"Promises",Happy,High,Fast
"Money on My Mind",Happy,High,Mid-tempo
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"How Do You Sleep?",Sad,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Fire on Fire",Sad,Medium,Slow
"Diamonds",Happy,High,Mid-tempo
"Promises",Happy,High,Fast
"Money on My Mind",Happy,High,Mid-tempo
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"How Do You Sleep?",Sad,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Fire on Fire",Sad,Medium,Slow
"Diamonds",Happy,High,Mid-tempo
"Promises",Happy,High,Fast
"Money on My Mind",Happy,High,Mid-tempo
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"How Do You Sleep?",Sad,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Fire on Fire",Sad,Medium,Slow
"Diamonds",Happy,High,Mid-tempo
"Promises",Happy,High,Fast
"Money on My Mind",Happy,High,Mid-tempo
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"How Do You Sleep?",Sad,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Fire on Fire",Sad,Medium,Slow
"Diamonds",Happy,High,Mid-tempo
"Promises",Happy,High,Fast
"Money on My Mind",Happy,High,Mid-tempo
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"How Do You Sleep?",Sad,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Fire on Fire",Sad,Medium,Slow
"Diamonds",Happy,High,Mid-tempo
"Promises",Happy,High,Fast
"Money on My Mind",Happy,High,Mid-tempo
"Dancing with a Stranger",Sad,Medium,Mid-tempo
"How Do You Sleep?",Sad,High,Mid-tempo
"I'm Ready",Happy,High,Fast
"Fire on Fire",Sad,Medium,Slow
"Diamonds",Happy,High,Mid-tempo
Zara Zara,Happy,High,Mid-tempo
Tadap Tadap,Sad,Low,Slow
Aashayein,Happy,High,Mid-tempo
Tu Jo Mila,Happy,High,Mid-tempo
O Meri Jaan,Sad,Medium,Mid-tempo
Khuda Jaane,Happy,High,Mid-tempo
Kaise Bataaoon,Happy,Medium,Mid-tempo
Ajab Si,Happy,Medium,Mid-tempo
Labon Ko,Sad,Low,Slow
Koi Kahe Kehta Rahe,Happy,High,Fast
Roop Tera Mastana,Happy,High,Fast
O Saathi Re,Sad,Low,Slow
Pal Pal Dil Ke Paas,Happy,Medium,Slow
Zindagi Ke Safar Mein,Sad,Medium,Mid-tempo
Ek Ladki Bhigi Bhagi Si,Happy,Medium,Slow
Chala Jaata Hoon,Happy,High,Mid-tempo
Mere Sapno Ki Rani,Happy,High,Fast
Khaike Paan Banaraswala,Happy,High,Fast
Yeh Sham Mastani,Happy,Medium,Slow
Humein Tumse Pyar Kitna,Happy,High,Mid-tempo
Chhookar Mere Mann Ko,Happy,Medium,Slow
Yeh Jo Mohabbat Hai,Happy,Medium,Slow
Yeh Dil Na Hota Bechara,Sad,Low,Slow
Yeh Shaam Mastani,Happy,Medium,Slow
Yeh Kya Hua,Sad,Medium,Slow
Zindagi Ek Safar Hai,Happy,Medium,Slow
Aane Wala Pal,Happy,Medium,Slow
Pal Bhar Ke Liye,Sad,Low,Slow
Pyar Deewana Hota Hai,Happy,High,Fast
Zindagi Pyar Ka Geet Hai,Happy,Medium,Slow
Sheila Ki Jawani,Happy,High,Fast
Kamli,Happy,High,Fast
Ishq Sufiyana,Happy,Medium,Slow
Aaja Nachle,Happy,High,Fast
Crazy Kiya Re,Happy,High,Fast
Desi Girl,Happy,High,Fast
Dhoom Machale,Happy,High,Fast
Ainvayi Ainvayi,Happy,High,Fast
Halkat Jawani,Happy,High,Fast
Radha,Happy,High,Fast
Aa Zara,Happy,Medium,Mid-tempo
Beedi,Happy,High,Fast
Sheila Ki Jawani,Happy,High,Fast
Dhoom Machale,Happy,High,Fast
Udi Udi Jaye,Happy,High,Fast
Halkat Jawani,Happy,High,Fast
Main Tera Boyfriend,Happy,High,Fast
Dance Pe Chance,Happy,High,Fast
Tum Se Hi,Happy,Medium,Slow
Pee Loon,Happy,Medium,Slow
Tum Ho,Happy,Medium,Slow
Phir Se Ud Chala,Happy,High,Mid-tempo
Kun Faya Kun,Happy,High,Slow
Matargashti,Happy,Medium,Mid-tempo
Dooba Dooba,Happy,Medium,Slow
Ilahi,Happy,Medium,Mid-tempo
Masakali,Happy,High,Mid-tempo
Jo Bhi Main,Happy,Medium,Mid-tempo
Baarishein,Sad,Medium,Slow
Maula,Sad,Medium,Slow
Meri Baaton Mein Tu,Happy,Medium,Mid-tempo
Maya,Happy,Medium,Mid-tempo
Riha,Happy,Medium,Mid-tempo
Tera Hone Laga Hoon,Happy,Medium,Slow
Tere Bin,Sad,Medium,Slow
Pehli Nazar Mein,Happy,High,Fast
Jeene Laga Hoon,Happy,Medium,Slow
Dil Diyan Gallan,Happy,Medium,Slow
Tu Jaane Na,Sad,Medium,Slow
Aadat,Sad,Medium,Slow
Piya O Re Piya,Happy,Medium,Slow
Tere Sang Yaara,Happy,Medium,Slow
Kuch Is Tarah,Sad,Medium,Slow
Tere Liye,Happy,Medium,Slow
Tere Naal Love Ho Gaya,Happy,Medium,Slow
Doorie,Sad,Medium,Slow
O Saathi,Happy,Medium,Slow
Mahiya Ve Soniya,Happy,Medium,Slow
Abhi Mujh Mein Kahin,Sad,Medium,Slow
Kal Ho Naa Ho,Sad,Medium,Slow
Tumse Milke Dil Ka,Happy,Medium,Slow
Satrangi Re,Happy,Medium,Slow
Main Agar Kahoon,Happy,Medium,Slow
Saathiya,Happy,Medium,Slow
Tanhayee,Sad,Medium,Slow
Main Hoon Na,Happy,High,Fast
Suraj Hua Maddham,Happy,Medium,Slow
Do Pal,Happy,Medium,Slow
Tum Jo Mil Gaye Ho,Happy,Medium,Slow
Mere Haath Mein,Happy,Medium,Slow
Deewana Tera,Happy,High,Fast
Yeh Dil Deewana,Happy,High,Fast
Pardesi Pardesi,Sad,Medium,Slow
Tanha Dil,Sad,Medium,Slow
Chand Sifarish,Happy,High,Fast
Woh Ladki Hai Kahan,Happy,High,Fast
Tum Ho Toh,Happy,Medium,Slow
Behti Hawa Sa Tha Woh,Happy,Medium,Slow
Suno Na,Happy,Medium,Slow
Main Aisa Kyun Hoon,Happy,Medium,Slow
Jab Se Tere Naina,Happy,Medium,Slow
Kuch To Hua Hai,Happy,Medium,Slow
Bhool Ja,Sad,Medium,Slow
Tere Naina,Sad,Medium,Slow
Aao Milo Chalo,Happy,High,Fast
Chand Sifarish,Happy,Medium,Slow
Jab Se Tere Naina,Happy,Medium,Slow
Chaar Kadam,Happy,Medium,Slow
Dilbar Dilbar,Happy,High,Fast
Agar Tum Saath Ho,Sad,Medium,Slow
Ek Do Teen,Happy,High,Fast
Tip Tip Barsa Pani,Happy,High,Fast
Choli Ke Peeche Kya Hai,Happy,High,Fast
Pardesi Pardesi,Sad,Medium,Slow
Maiyya Yashoda,Happy,High,Fast
Mera Dil Bhi Kitna Pagal Hai,Happy,Medium,Slow
Tum Mile,Sad,Medium,Slow
Lal Dupatta,Happy,High,Fast
Tumhein Apna Banane Ki Kasam,Sad,Medium,Slow
Gali Mein Aaj Chand Nikla,Happy,Medium,Slow
Kuch Kuch Hota Hai,Happy,Medium,Slow
Bole Chudiyan,Happy,High,Fast
Aankhon Ki Gustakhiyan,Happy,Medium,Slow
Mauja Hi Mauja,Happy,High,Fast
Subha Hone Na De,Happy,High,Fast
Gandi Baat,Happy,High,Fast
Singh Is Kinng,Happy,High,Fast
Aaj Ki Party,Happy,High,Fast
Jumme Ki Raat,Happy,High,Fast
Tu Mere Agal Bagal Hai,Happy,High,Fast
Sawaan Mein Lag Gayi Aag,Happy,High,Fast
Dhinka Chika,Happy,High,Fast
Desi Beat,Happy,High,Fast
Billo Ni Tera Lal Ghagra,Happy,High,Fast
Mast Kalandar,Happy,High,Fast
Saawan Mein Lag Gayi Aag,Happy,High,Fast
Dil Mein Baji Guitar,Happy,High,Fast
Aaj Ki Raat,Happy,High,Fast
Amplifier,Happy,High,Fast
Satisfya,Happy,High,Fast
Bewafa,Sad,High,Fast
Pata Chalgea,Happy,High,Fast
Imaginary,Happy,High,Fast
Nazar,Happy,High,Fast
Hey Girl,Happy,High,Fast
Ni Nachleh,Happy,High,Fast
Gora Gora Rang,Happy,High,Fast
President Roley,Happy,High,Fast
Knightridah,Happy,High,Fast
Hattrick,Happy,High,Fast
Let's Celebrate,Happy,High,Fast
Nakhra,Happy,High,Fast
Imaginary Girl,Happy,High,Fast
Made in India,Happy,High,Fast
Kajra Re,Happy,High,Fast
Lover Girl,Happy,High,Fast
Dilbar Dilbar,Happy,High,Fast
Ruk Ruk Ruk,Happy,High,Fast
Tu Kahan,Sad,Medium,Slow
Oh My Darling,Happy,High,Fast
Zindagi Meri Dance Dance,Happy,High,Fast
Jaadu Teri Nazar,Happy,Medium,Slow
Tera Hone Laga Hoon,Happy,Medium,Slow
De De,Happy,High,Fast
No Entry,Happy,High,Fast
Its Rocking,Happy,High,Fast
Aa Jane Jaan,Happy,High,Fast
Ek Do Teen,Happy,High,Fast
Pardesi Pardesi,Sad,Medium,Slow
Dil To Pagal Hai,Happy,Medium,Slow
Tumse Milna,Happy,Medium,Slow
Mehndi Laga Ke Rakhna,Happy,Medium,Slow
Kaho Naa Pyaar Hai,Happy,Medium,Slow
Chand Chhupa Badal Mein,Happy,Medium,Slow
Mitwa,Happy,Medium,Slow
Yeh Ladka Hai Deewana,Happy,High,Fast
Jaadu Teri Nazar,Happy,Medium,Slow
Aisa Des Hai Mera,Happy,Medium,Slow
Koi Mil Gaya,Happy,Medium,Slow
Chhote Chhote Sapne,Happy,Medium,Slow
Mehndi Hai Rachne Wali,Happy,Medium,Slow
Mehboob Mere,Happy,Medium,Slow
Raja Ko Rani Se Pyar Ho Gaya,Happy,Medium,Slow
Jiya Re,Happy,High,Fast
Ishq Wala Love,Happy,High,Mid-tempo
Saadi Galli Aaja,Happy,High,Fast
Jiya Lage Na,Sad,Medium,Slow
Nainowale Ne,Happy,Medium,Slow
Bang Bang,Happy,High,Fast
Mohabbat Buri Bimari,Happy,High,Fast
Laal Ishq,Sad,Medium,Slow
Sapna Jahan,Happy,Medium,Slow
Tumhe Apna Banane Ka,Sad,Medium,Slow
Afeemi,Happy,Medium,Slow
Har Kisi Ko,Happy,Medium,Slow
Jiya,Happy,Medium,Slow
Sau Aasmaan,Happy,Medium,Mid-tempo
Khuda Bhi,Sad,Medium,Slow
Dilbar,Happy,High,Fast
Coca Cola,Happy,High,Fast
Kala Chashma,Happy,High,Fast
O Saki Saki,Happy,High,Fast
Garmi,Happy,High,Fast
Aankh Marey,Happy,High,Fast
Kar Gayi Chull,Happy,High,Fast
Manali Trance,Happy,High,Fast
London Thumakda,Happy,High,Fast
Chhote Chhote Peg,Happy,High,Fast
Mile Ho Tum Humko,Happy,Medium,Slow
Suroor,Happy,High,Fast
La La La,Happy,High,Fast
Badri Ki Dulhania,Happy,High,Fast
Aao Raja,Happy,High,Fast
Majhail,Happy,High,Fast
Brown Munde,Happy,High,Fast
Excuses,Happy,High,Fast
Dead Presidents,Happy,High,Fast
Saada Time,Happy,High,Fast
Gucci,Happy,High,Fast
Faraar,Happy,High,Fast
Sharaabi,Happy,High,Fast
Shikaar,Happy,High,Fast
Stabbed,Sad,High,Fast
Hot,Happy,High,Fast
Jatt Di Pasand,Happy,High,Fast
My Block,Happy,High,Fast
Deja Vu,Happy,High,Fast
Me & My Girlfriend,Happy,High,Fast
Last Nite,Happy,High,Fast
Someday,Happy,Medium,Mid-tempo
Reptilia,Happy,High,Fast
Hard to Explain,Happy,Medium,Mid-tempo
Under Cover of Darkness,Happy,High,Fast
You Only Live Once,Happy,High,Fast
The Modern Age,Happy,Medium,Mid-tempo
Juicebox,Happy,High,Fast
12:51,Happy,Medium,Mid-tempo
Is This It,Happy,Medium,Mid-tempo
Heart in a Cage,Happy,Medium,Mid-tempo
Automatic Stop,Happy,Medium,Mid-tempo
What Ever Happened?,Happy,Medium,Mid-tempo
"Alone, Together",Happy,Medium,Mid-tempo
Take It or Leave It,Happy,High,Fast
Youth,Happy,High,Fast
My My My!,Happy,High,Fast
Dance to This (feat. Ariana Grande),Happy,Medium,Mid-tempo
Wild,Happy,Medium,Mid-tempo
Bloom,Happy,Medium,Mid-tempo
Heaven,Happy,Medium,Mid-tempo
Easy,Happy,Medium,Mid-tempo
Take Yourself Home,Happy,Medium,Mid-tempo
Happy Little Pill,Happy,Medium,Mid-tempo
Strawberries & Cigarettes,Happy,Medium,Mid-tempo
Talk Me Down,Sad,Low,Slow
Fools,Sad,Low,Slow
The Good Side,Sad,Low,Slow
Suburbia,Sad,Low,Slow
Feel Good Inc.,Happy,High,Fast
Clint Eastwood,Happy,High,Fast
On Melancholy Hill,Happy,Medium,Mid-tempo
DARE,Happy,High,Fast
19-2000,Happy,High,Fast
Stylo,Happy,High,Fast
Saturnz Barz,Happy,High,Fast
Humility,Happy,Medium,Mid-tempo
Dirty Harry,Happy,High,Fast
Tomorrow Comes Today,Happy,Medium,Mid-tempo
El Mañana,Happy,Medium,Mid-tempo
Rhinestone Eyes,Happy,High,Fast
Melancholy Hill,Happy,Medium,Mid-tempo
Andromeda,Happy,Medium,Mid-tempo
Tranz,Happy,High,Fast
con,Happy,High,Fast
Ghost,Happy,High,Fast
Summertime in Paris (feat. Willow),Happy,Medium,Mid-tempo
Batman,Happy,High,Fast
PCH,Happy,High,Fast
Fallen,Happy,High,Fast
On My Own,Happy,High,Fast
Again,Happy,High,Fast
NOIZE,Happy,High,Fast
Fire,Happy,High,Fast
B,Happy,Medium,Mid-tempo
4 My 1,Happy,Medium,Mid-tempo
Ninety,Happy,Medium,Mid-tempo
Rainbow Bap,Happy,High,Fast
I,Happy,Medium,Mid-tempo
Love Sosa,Happy,High,Fast
I Don't Like (feat. Lil Reese),Happy,High,Fast
Faneto,Happy,High,Fast
Earned It,Happy,High,Fast
Hate Bein' Sober (feat. 50 Cent & Wiz Khalifa),Happy,High,Fast
Finally Rich (feat. 50 Cent),Happy,High,Fast
Bang (feat. Lil B),Happy,High,Fast
Kobe,Happy,High,Fast
3Hunna,Happy,High,Fast
Understand Me (feat. Young Jeezy),Happy,High,Fast
Everyday is Halloween,Happy,High,Fast
I Don't Know Dem,Happy,High,Fast
Sosa Chamberlain,Happy,High,Fast
24s,Happy,High,Fast
Finally Rich,Happy,High,Fast
No Role Modelz,Happy,High,Mid-tempo
Middle Child,Happy,High,Mid-tempo
Love Yourz,Happy,Medium,Slow
Wet Dreamz,Happy,Medium,Mid-tempo
Power Trip (feat. Miguel),Happy,High,Mid-tempo
Crooked Smile (feat. TLC),Happy,Medium,Mid-tempo
ATM,Happy,High,Mid-tempo
Apparently,Happy,Medium,Mid-tempo
G.O.M.D.,Happy,High,Mid-tempo
MIDDLE CHILD,Happy,High,Mid-tempo
Work Out,Happy,Medium,Mid-tempo
She Knows,Happy,Medium,Mid-tempo
Wet Dreamz,Happy,Medium,Mid-tempo
Kevin's Heart,Happy,Medium,Mid-tempo
Immortal,Happy,High,Mid-tempo
Lucid Dreams,Sad,Medium,Slow
Legends,Sad,Medium,Slow
Robbery,Sad,Medium,Slow
All Girls Are the Same,Sad,Medium,Slow
Bandit (with YoungBoy Never Broke Again),Happy,High,Fast
Armed and Dangerous,Happy,High,Fast
Wishing Well,Sad,Medium,Slow
Conversations,Sad,Medium,Slow
Righteous,Sad,Medium,Slow
Lean Wit Me,Sad,Medium,Mid-tempo
Empty,Sad,Medium,Mid-tempo
Black & White,Sad,Medium,Mid-tempo
Come & Go (with Marshmello),Happy,High,Fast
Goodbye & Good Riddance,Sad,Medium,Mid-tempo
Hate Me (with Ellie Goulding),Sad,Medium,Mid-tempo
SAD!,Sad,Medium,Slow
Jocelyn Flores,Sad,Medium,Slow
Moonlight,Happy,Medium,Mid-tempo
Look at Me!,Happy,High,Fast
Changes,Sad,Medium,Slow
Fuck Love (with Trippie Redd),Sad,Medium,Mid-tempo
Everybody Dies in Their Nightmares,Sad,Medium,Slow
Revenge,Sad,Medium,Slow
Hope,Sad,Medium,Slow
Guardian Angel,Sad,Medium,Slow
BAD!,Sad,Medium,Mid-tempo
"Arms Around You (with Lil Pump, Maluma & Swae Lee)",Happy,Medium,Mid-tempo
Hearteater,Happy,Medium,Mid-tempo
"Royalty (with Ky-Mani Marley, Stefflon Don & Vybz Kartel)",Happy,High,Fast
Changes,Sad,Medium,Slow
Kun Faya Kun,Happy,Medium,Slow
Guzarish,Happy,Medium,Mid-tempo
Arziyan,Happy,Medium,Slow
Jashn-E-Bahara,Happy,Medium,Slow
Tu Jo Mila,Happy,Medium,Slow
Tum Tak,Happy,Medium,Mid-tempo
Maula,Happy,Medium,Mid-tempo
Gale Lag Ja,Happy,Medium,Mid-tempo
Ishaqzaade,Happy,Medium,Mid-tempo
Dil Ibaadat,Happy,Medium,Mid-tempo
Tu Muskura,Happy,Medium,Mid-tempo
Guzarish (Remix),Happy,Medium,Mid-tempo
Tose Naina,Happy,Medium,Slow
Teri Ore,Happy,Medium,Slow
Maula Mere Maula,Happy,Medium,Slow
Tujhe Dekha Toh,Happy,Medium,Slow
Ek Ladki Ko Dekha,Happy,Medium,Slow
Mera Dil Bhi Kitna Pagal Hai,Happy,Medium,Slow
Do Dil Mil Rahe Hain,Happy,Medium,Slow
Ek Sanam Chahiye Aashiqui Ke Liye,Happy,Medium,Slow
Tum Mile Dil Khile,Happy,Medium,Slow
Ab Tere Bin Jee Lenge Hum,Sad,Medium,Slow
Yeh Kaali Kaali Aankhen,Happy,Medium,Mid-tempo
Humko Sirf Tumse Pyar Hai,Happy,Medium,Mid-tempo
Tu Mile Dil Khile,Happy,Medium,Slow
Aankhon Ki Gustakhiyan,Happy,Medium,Slow
Ae Kash Ke Hum,Sad,Medium,Slow
Dheere Dheere Se Meri Zindagi,Happy,Medium,Slow
Chehra Kya Dekhte Ho,Happy,Medium,Mid-tempo
Dil Hai Ki Manta Nahin,Happy,Medium,Slow
Main Koi Aisa Geet Gaoon,Happy,Medium,Slow
Suno Na,Happy,Medium,Mid-tempo
Zara Sa Jhoom Loon Main,Happy,Medium,Mid-tempo
Badi Mushkil Hai,Happy,Medium,Mid-tempo
Ole Ole,Happy,High,Fast
Tum Dil Ki Dhadkan Mein,Happy,Medium,Slow
Chand Taare,Happy,Medium,Mid-tempo
O Mere Sapno Ke Saudagar,Happy,Medium,Mid-tempo
Haan Maine Bhi Pyaar Kiya Hai,Happy,Medium,Mid-tempo
Main To Hoon Pagal Munda,Happy,High,Fast
Aaj Ki Raat,Happy,Medium,Mid-tempo
Saanson Ko Saanson Mein,Happy,Medium,Mid-tempo
Chalte Chalte Mere Ye Geet Yaad Rakhna,Happy,Medium,Mid-tempo
Mujhe Raat Din Bas,Happy,Medium,Mid-tempo
Tere Bina Dil Mera Lage Na,Sad,Medium,Slow
Disco Deewane,Happy,High,Fast
Aap Jaisa Koi,Happy,High,Fast
Boom Boom,Happy,High,Fast
Dil Ki Lagi,Happy,Medium,Slow
Ankhein Milane Wale,Happy,Medium,Slow
Tere Qadmon Ko Choom Lunga,Happy,Medium,Slow
Suno,Happy,Medium,Slow
Dosti,Happy,Medium,Slow
Maine Dil Se Kaha,Happy,Medium,Slow
Lekin Mera Dil,Happy,Medium,Slow
